customer_id,recency,frequency,monetary,R,F,M,rfm_score,tier
SWGY11970,188,1,33.87,2,1,1,4,At-Risk
SWGY11971,5,1,158.4,4,1,2,7,Potential
SWGY11978,24,1,106.16,3,1,2,6,Potential
SWGY11984,401,1,94.99,1,1,1,3,Lost
SWGY11991,13,1,90.96,4,1,1,6,Potential
SWGY12002,290,1,129.6,1,1,2,4,At-Risk
SWGY12004,6,1,229.05,4,2,3,9,Loyal
SWGY12011,548,1,65.59,1,2,1,4,At-Risk
SWGY12012,202,1,183.68,2,2,2,6,Potential
SWGY12015,6,1,79.43,4,2,1,7,Potential
SWGY12018,431,1,40.12,1,2,1,4,At-Risk
SWGY12019,546,1,19.0,1,2,1,4,At-Risk
SWGY12032,25,1,54.82,3,2,1,6,Potential
SWGY12035,25,1,276.89,3,2,3,8,Loyal
SWGY12041,8,1,230.18,4,2,3,9,Loyal
SWGY12042,405,1,136.91,1,2,2,5,At-Risk
SWGY12044,20,1,444.49,3,2,4,9,Loyal
SWGY12045,4,4,374.57,4,4,4,12,Champions
SWGY12048,119,1,161.65,2,2,2,6,Potential
SWGY12052,29,2,572.0,3,4,4,11,Champions
SWGY12054,299,1,287.64,1,2,3,6,Potential
SWGY12058,134,2,200.27,2,4,3,9,Loyal
SWGY12059,199,1,264.34,2,2,3,7,Potential
SWGY12061,202,1,45.5,2,2,1,5,At-Risk
SWGY12062,15,1,93.15,4,2,1,7,Potential
SWGY12063,9,1,145.57,4,2,2,8,Loyal
SWGY12066,19,2,259.37,3,4,3,10,Champions
SWGY12067,137,1,195.38,2,2,3,7,Potential
SWGY12072,229,1,185.46,2,2,2,6,Potential
SWGY12080,24,1,60.89,3,2,1,6,Potential
SWGY12081,78,2,518.3,3,4,4,11,Champions
SWGY12086,2,2,233.63,4,4,3,11,Champions
SWGY12102,7,3,915.57,4,4,4,12,Champions
SWGY12105,389,1,248.13,1,2,3,6,Potential
SWGY12106,337,1,89.63,1,2,1,4,At-Risk
SWGY12110,1,3,900.51,4,4,4,12,Champions
SWGY12116,3,2,346.27,4,4,4,12,Champions
SWGY12120,218,1,230.45,2,2,3,7,Potential
SWGY12121,3,1,506.2,4,2,4,10,Champions
SWGY12129,22,2,501.21,3,4,4,11,Champions
SWGY12131,1,2,315.21000000000004,4,4,3,11,Champions
SWGY12132,475,1,47.06,1,2,1,4,At-Risk
SWGY12135,583,1,146.78,1,2,2,5,At-Risk
SWGY12142,105,1,123.36,2,2,2,6,Potential
SWGY12143,30,1,57.36,3,2,1,6,Potential
SWGY12144,14,1,102.79,4,2,1,7,Potential
SWGY12149,150,1,164.7,2,2,2,6,Potential
SWGY12150,3,1,545.47,4,2,4,10,Champions
SWGY12157,46,2,723.79,3,4,4,11,Champions
SWGY12159,29,1,144.67,3,2,2,7,Potential
SWGY12160,84,1,376.37,3,2,4,9,Loyal
SWGY12161,14,1,148.29,4,2,2,8,Loyal
SWGY12162,471,1,206.29,1,2,3,6,Potential
SWGY12165,5,1,195.75,4,2,3,9,Loyal
SWGY12175,266,1,70.22,1,2,1,4,At-Risk
SWGY12179,24,1,66.44,3,2,1,6,Potential
SWGY12183,17,2,505.99,4,4,4,12,Champions
SWGY12186,258,1,161.47,2,2,2,6,Potential
SWGY12187,37,1,163.94,3,2,2,7,Potential
SWGY12188,35,1,94.39,3,2,1,6,Potential
SWGY12189,358,1,295.76,1,2,3,6,Potential
SWGY12190,5,2,441.70000000000005,4,4,4,12,Champions
SWGY12193,10,1,99.96,4,2,1,7,Potential
SWGY12194,146,1,130.55,2,2,2,6,Potential
SWGY12211,30,1,120.72,3,2,2,7,Potential
SWGY12213,12,1,67.93,4,2,1,7,Potential
SWGY12214,24,1,101.8,3,2,1,6,Potential
SWGY12219,14,1,221.09,4,2,3,9,Loyal
SWGY12221,415,1,147.12,1,2,2,5,At-Risk
SWGY12223,156,1,68.14,2,2,1,5,At-Risk
SWGY12224,3,1,63.64,4,2,1,7,Potential
SWGY12227,27,2,158.8,3,4,2,9,Loyal
SWGY12228,11,1,55.25,4,2,1,7,Potential
SWGY12235,106,1,84.77,2,2,1,5,At-Risk
SWGY12237,23,1,525.5,3,2,4,9,Loyal
SWGY12242,661,1,496.16,1,2,4,7,Potential
SWGY12249,212,1,106.68,2,2,2,6,Potential
SWGY12250,138,1,331.77,2,2,4,8,Loyal
SWGY12252,339,1,38.71,1,2,1,4,At-Risk
SWGY12262,100,3,578.56,2,4,4,10,Champions
SWGY12263,558,1,128.66,1,2,2,5,At-Risk
SWGY12269,19,2,564.6700000000001,3,4,4,11,Champions
SWGY12271,17,2,234.01,4,4,3,11,Champions
SWGY12273,328,1,145.53,1,2,2,5,At-Risk
SWGY12277,147,1,99.26,2,2,1,5,At-Risk
SWGY12287,97,1,470.65,2,2,4,8,Loyal
SWGY12289,25,1,57.23,3,2,1,6,Potential
SWGY12291,79,1,394.08,3,2,4,9,Loyal
SWGY12292,94,1,120.68,2,2,2,6,Potential
SWGY12296,17,1,136.64,4,2,2,8,Loyal
SWGY12297,431,1,166.8,1,2,2,5,At-Risk
SWGY12298,6,1,353.09,4,2,4,10,Champions
SWGY12300,24,4,806.1800000000001,3,4,4,11,Champions
SWGY12309,6,2,356.40999999999997,4,4,4,12,Champions
SWGY12310,13,1,282.29,4,2,3,9,Loyal
SWGY12311,245,1,230.41,2,2,3,7,Potential
SWGY12314,96,1,322.43,2,2,3,7,Potential
SWGY12320,174,1,266.65,2,2,3,7,Potential
SWGY12322,136,1,107.48,2,2,2,6,Potential
SWGY12323,140,1,217.08,2,2,3,7,Potential
SWGY12324,30,1,460.05,3,2,4,9,Loyal
SWGY12329,66,1,63.21,3,2,1,6,Potential
SWGY12330,26,1,645.67,3,2,4,9,Loyal
SWGY12331,218,1,74.81,2,2,1,5,At-Risk
SWGY12333,315,1,115.65,1,2,2,5,At-Risk
SWGY12339,598,1,330.89,1,2,4,7,Potential
SWGY12340,242,2,345.75,2,4,4,10,Champions
SWGY12343,29,1,240.09,3,2,3,8,Loyal
SWGY12351,149,1,67.71,2,2,1,5,At-Risk
SWGY12353,403,1,724.95,1,2,4,7,Potential
SWGY12362,125,2,559.64,2,4,4,10,Champions
SWGY12368,22,1,216.25,3,2,3,8,Loyal
SWGY12371,112,1,170.83,2,2,2,6,Potential
SWGY12373,264,1,112.83,2,2,2,6,Potential
SWGY12380,18,1,117.1,4,2,2,8,Loyal
SWGY12388,38,1,74.02,3,2,1,6,Potential
SWGY12389,59,1,381.09,3,2,4,9,Loyal
SWGY12391,345,1,193.23,1,2,3,6,Potential
SWGY12394,361,2,582.45,1,4,4,9,Loyal
SWGY12399,21,1,278.18,3,2,3,8,Loyal
SWGY12401,27,1,693.31,3,2,4,9,Loyal
SWGY12402,28,1,223.07,3,2,3,8,Loyal
SWGY12407,23,1,353.51,3,2,4,9,Loyal
SWGY12408,395,1,74.76,1,2,1,4,At-Risk
SWGY12410,10,1,217.87,4,2,3,9,Loyal
SWGY12411,27,1,201.16,3,2,3,8,Loyal
SWGY12414,9,2,294.4,4,4,3,11,Champions
SWGY12415,11,3,510.8,4,4,4,12,Champions
SWGY12416,1,1,150.77,4,2,2,8,Loyal
SWGY12417,275,1,244.58,1,2,3,6,Potential
SWGY12422,249,1,122.07,2,2,2,6,Potential
SWGY12423,358,1,82.82,1,2,1,4,At-Risk
SWGY12424,145,1,426.63,2,2,4,8,Loyal
SWGY12428,13,1,102.49,4,2,1,7,Potential
SWGY12433,280,1,445.45,1,2,4,7,Potential
SWGY12434,170,1,64.36,2,2,1,5,At-Risk
SWGY12435,97,1,152.44,2,2,2,6,Potential
SWGY12436,28,1,94.02,3,2,1,6,Potential
SWGY12445,493,1,100.04,1,2,1,4,At-Risk
SWGY12449,7,1,49.87,4,2,1,7,Potential
SWGY12452,5,1,134.64,4,2,2,8,Loyal
SWGY12453,15,1,159.88,4,2,2,8,Loyal
SWGY12454,30,4,891.57,3,4,4,11,Champions
SWGY12457,404,1,108.87,1,2,2,5,At-Risk
SWGY12459,190,1,381.14,2,2,4,8,Loyal
SWGY12460,211,1,152.26,2,2,2,6,Potential
SWGY12464,9,3,675.78,4,4,4,12,Champions
SWGY12466,289,1,121.55,1,2,2,5,At-Risk
SWGY12467,661,2,414.20000000000005,1,4,4,9,Loyal
SWGY12469,342,1,329.47,1,2,4,7,Potential
SWGY12470,539,1,78.14,1,2,1,4,At-Risk
SWGY12472,336,1,227.6,1,2,3,6,Potential
SWGY12477,99,1,280.53,2,2,3,7,Potential
SWGY12480,158,1,126.75,2,2,2,6,Potential
SWGY12482,4,2,261.48,4,4,3,11,Champions
SWGY12485,401,1,101.74,1,2,1,4,At-Risk
SWGY12487,254,1,155.46,2,2,2,6,Potential
SWGY12489,24,1,203.45,3,2,3,8,Loyal
SWGY12491,547,1,202.73,1,2,3,6,Potential
SWGY12494,141,1,8.29,2,2,1,5,At-Risk
SWGY12500,325,1,223.56,1,2,3,6,Potential
SWGY12503,32,2,439.3,3,4,4,11,Champions
SWGY12507,17,1,149.23,4,2,2,8,Loyal
SWGY12508,596,1,173.86,1,2,2,5,At-Risk
SWGY12509,193,1,183.28,2,2,2,6,Potential
SWGY12512,93,1,470.84,2,2,4,8,Loyal
SWGY12520,154,1,111.3,2,2,2,6,Potential
SWGY12521,101,1,42.35,2,2,1,5,At-Risk
SWGY12525,3,1,70.01,4,2,1,7,Potential
SWGY12527,555,1,400.35,1,2,4,7,Potential
SWGY12530,198,1,155.78,2,2,2,6,Potential
SWGY12532,541,1,269.52,1,2,3,6,Potential
SWGY12533,406,1,64.48,1,2,1,4,At-Risk
SWGY12534,401,2,281.19,1,4,3,8,Loyal
SWGY12536,3,1,144.5,4,2,2,8,Loyal
SWGY12537,112,1,263.04,2,2,3,7,Potential
SWGY12548,16,1,94.97,4,2,1,7,Potential
SWGY12550,17,1,457.16,4,2,4,10,Champions
SWGY12555,106,1,95.21,2,2,1,5,At-Risk
SWGY12560,483,1,287.86,1,2,3,6,Potential
SWGY12561,2,3,429.90999999999997,4,4,4,12,Champions
SWGY12563,199,1,521.02,2,2,4,8,Loyal
SWGY12565,5,4,440.44,4,4,4,12,Champions
SWGY12572,89,2,245.1,2,4,3,9,Loyal
SWGY12577,51,2,273.73,3,4,3,10,Champions
SWGY12583,14,3,554.1899999999999,4,4,4,12,Champions
SWGY12585,278,1,60.16,1,2,1,4,At-Risk
SWGY12590,505,1,132.75,1,2,2,5,At-Risk
SWGY12592,25,1,162.56,3,2,2,7,Potential
SWGY12598,3,1,222.7,4,2,3,9,Loyal
SWGY12602,25,1,179.91,3,2,2,7,Potential
SWGY12605,24,1,98.54,3,2,1,6,Potential
SWGY12606,12,1,65.33,4,2,1,7,Potential
SWGY12608,321,1,159.12,1,2,2,5,At-Risk
SWGY12609,62,2,513.71,3,4,4,11,Champions
SWGY12610,30,1,55.45,3,2,1,6,Potential
SWGY12611,33,1,209.23,3,2,3,8,Loyal
SWGY12612,405,1,250.6,1,2,3,6,Potential
SWGY12613,17,1,265.07,4,2,3,9,Loyal
SWGY12620,29,1,139.52,3,2,2,7,Potential
SWGY12621,400,1,85.5,1,2,1,4,At-Risk
SWGY12622,227,1,160.96,2,2,2,6,Potential
SWGY12625,7,2,236.06,4,4,3,11,Champions
SWGY12626,30,1,69.73,3,2,1,6,Potential
SWGY12627,15,1,152.55,4,2,2,8,Loyal
SWGY12634,27,1,177.95,3,2,2,7,Potential
SWGY12635,22,1,85.1,3,2,1,6,Potential
SWGY12636,259,1,175.21,2,2,2,6,Potential
SWGY12638,1,1,182.07,4,2,2,8,Loyal
SWGY12640,8,1,580.7,4,2,4,10,Champions
SWGY12645,87,1,237.05,2,2,3,7,Potential
SWGY12647,619,1,140.0,1,2,2,5,At-Risk
SWGY12651,418,1,365.6,1,2,4,7,Potential
SWGY12656,135,1,78.44,2,2,1,5,At-Risk
SWGY12664,13,1,150.67,4,2,2,8,Loyal
SWGY12665,209,1,454.78,2,2,4,8,Loyal
SWGY12669,143,1,173.52,2,2,2,6,Potential
SWGY12673,463,1,5.74,1,2,1,4,At-Risk
SWGY12679,24,2,483.57,3,4,4,11,Champions
SWGY12688,88,2,446.87,2,4,4,10,Champions
SWGY12689,25,1,118.42,3,2,2,7,Potential
SWGY12690,28,1,266.6,3,2,3,8,Loyal
SWGY12692,207,1,307.04,2,2,3,7,Potential
SWGY12695,409,2,168.81,1,4,2,7,Potential
SWGY12697,360,1,254.77,1,2,3,6,Potential
SWGY12698,29,1,369.01,3,2,4,9,Loyal
SWGY12703,7,2,153.32,4,4,2,10,Champions
SWGY12708,438,1,383.64,1,2,4,7,Potential
SWGY12716,26,2,513.1899999999999,3,4,4,11,Champions
SWGY12728,54,1,80.78,3,2,1,6,Potential
SWGY12729,25,1,95.36,3,2,1,6,Potential
SWGY12731,8,1,137.13,4,2,2,8,Loyal
SWGY12736,46,1,145.37,3,2,2,7,Potential
SWGY12737,12,1,122.91,4,2,2,8,Loyal
SWGY12740,11,1,597.65,4,2,4,10,Champions
SWGY12743,19,1,118.49,3,2,2,7,Potential
SWGY12744,6,2,565.24,4,4,4,12,Champions
SWGY12747,294,1,95.94,1,2,1,4,At-Risk
SWGY12750,342,1,324.92,1,2,3,6,Potential
SWGY12753,291,1,87.65,1,2,1,4,At-Risk
SWGY12754,168,1,27.68,2,2,1,5,At-Risk
SWGY12755,253,1,117.15,2,2,2,6,Potential
SWGY12764,4,1,96.8,4,2,1,7,Potential
SWGY12765,30,1,104.05,3,2,1,6,Potential
SWGY12767,15,2,348.45,4,4,4,12,Champions
SWGY12769,459,1,104.31,1,2,1,4,At-Risk
SWGY12774,255,1,332.96,2,2,4,8,Loyal
SWGY12782,31,2,867.8199999999999,3,4,4,11,Champions
SWGY12789,223,2,417.90000000000003,2,4,4,10,Champions
SWGY12793,8,1,15.53,4,2,1,7,Potential
SWGY12804,335,1,132.75,1,2,2,5,At-Risk
SWGY12806,260,1,410.71,2,2,4,8,Loyal
SWGY12811,27,1,676.82,3,2,4,9,Loyal
SWGY12816,31,1,464.8,3,2,4,9,Loyal
SWGY12818,10,1,127.05,4,2,2,8,Loyal
SWGY12819,179,1,102.21,2,2,1,5,At-Risk
SWGY12820,510,1,183.87,1,2,2,5,At-Risk
SWGY12822,100,1,67.9,2,2,1,5,At-Risk
SWGY12827,26,2,757.03,3,4,4,11,Champions
SWGY12830,4,1,102.32,4,2,1,7,Potential
SWGY12831,10,1,160.65,4,2,2,8,Loyal
SWGY12835,12,1,92.19,4,2,1,7,Potential
SWGY12836,504,1,63.0,1,2,1,4,At-Risk
SWGY12837,541,1,209.63,1,2,3,6,Potential
SWGY12841,96,1,284.36,2,2,3,7,Potential
SWGY12843,2,1,71.86,4,2,1,7,Potential
SWGY12845,11,2,500.92999999999995,4,4,4,12,Champions
SWGY12849,232,1,89.08,2,2,1,5,At-Risk
SWGY12852,409,1,86.8,1,2,1,4,At-Risk
SWGY12854,218,2,631.0799999999999,2,4,4,10,Champions
SWGY12855,70,2,427.63,3,4,4,11,Champions
SWGY12860,99,1,62.46,2,2,1,5,At-Risk
SWGY12864,259,1,172.76,2,2,2,6,Potential
SWGY12866,10,1,187.41,4,2,2,8,Loyal
SWGY12868,5,1,86.07,4,2,1,7,Potential
SWGY12869,6,2,625.39,4,4,4,12,Champions
SWGY12870,26,2,189.88,3,4,2,9,Loyal
SWGY12877,246,1,378.04,2,2,4,8,Loyal
SWGY12879,19,1,12.49,3,2,1,6,Potential
SWGY12880,25,1,367.68,3,2,4,9,Loyal
SWGY12881,99,2,270.11,2,4,3,9,Loyal
SWGY12882,24,1,183.39,3,2,2,7,Potential
SWGY12886,500,1,414.69,1,2,4,7,Potential
SWGY12887,8,3,589.72,4,4,4,12,Champions
SWGY12888,29,1,362.17,3,2,4,9,Loyal
SWGY12890,280,2,428.84000000000003,1,4,4,9,Loyal
SWGY12891,353,1,263.27,1,2,3,6,Potential
SWGY12892,30,2,607.94,3,4,4,11,Champions
SWGY12893,12,1,229.28,4,2,3,9,Loyal
SWGY12902,21,1,315.69,3,2,3,8,Loyal
SWGY12903,12,1,62.78,4,2,1,7,Potential
SWGY12908,89,1,189.55,2,2,2,6,Potential
SWGY12910,338,1,37.37,1,2,1,4,At-Risk
SWGY12911,1,1,270.03,4,2,3,9,Loyal
SWGY12917,29,2,426.21000000000004,3,4,4,11,Champions
SWGY12918,4,1,273.85,4,2,3,9,Loyal
SWGY12919,20,1,81.64,3,2,1,6,Potential
SWGY12920,26,1,164.83,3,2,2,7,Potential
SWGY12922,282,2,230.3,1,4,3,8,Loyal
SWGY12928,287,1,143.64,1,2,2,5,At-Risk
SWGY12929,452,1,520.18,1,2,4,7,Potential
SWGY12930,358,1,471.72,1,2,4,7,Potential
SWGY12939,268,1,109.0,1,2,2,5,At-Risk
SWGY12942,12,1,173.16,4,2,2,8,Loyal
SWGY12943,12,1,113.81,4,2,2,8,Loyal
SWGY12945,11,2,637.1800000000001,4,4,4,12,Champions
SWGY12952,379,1,69.01,1,2,1,4,At-Risk
SWGY12957,4,1,114.98,4,2,2,8,Loyal
SWGY12962,241,1,91.13,2,2,1,5,At-Risk
SWGY12965,475,1,45.19,1,2,1,4,At-Risk
SWGY12967,162,1,42.65,2,2,1,5,At-Risk
SWGY12968,17,1,55.71,4,2,1,7,Potential
SWGY12977,22,2,259.95,3,4,3,10,Champions
SWGY12984,89,1,135.73,2,2,2,6,Potential
SWGY12985,13,1,156.05,4,2,2,8,Loyal
SWGY12991,254,1,126.23,2,2,2,6,Potential
SWGY13000,144,1,135.89,2,2,2,6,Potential
SWGY13009,22,1,77.69,3,2,1,6,Potential
SWGY13013,16,2,453.62,4,4,4,12,Champions
SWGY13015,144,1,71.06,2,2,1,5,At-Risk
SWGY13016,378,1,193.41,1,2,3,6,Potential
SWGY13018,390,1,99.84,1,2,1,4,At-Risk
SWGY13019,31,1,46.97,3,2,1,6,Potential
SWGY13025,738,1,72.99,1,2,1,4,At-Risk
SWGY13031,115,1,130.89,2,2,2,6,Potential
SWGY13034,210,1,63.57,2,2,1,5,At-Risk
SWGY13036,2,1,739.75,4,2,4,10,Champions
SWGY13037,25,2,347.24,3,4,4,11,Champions
SWGY13039,31,2,654.88,3,4,4,11,Champions
SWGY13040,271,1,114.83,1,2,2,5,At-Risk
SWGY13043,9,1,16.04,4,2,1,7,Potential
SWGY13048,25,1,409.61,3,2,4,9,Loyal
SWGY13050,170,2,236.20000000000002,2,4,3,9,Loyal
SWGY13057,219,1,191.04,2,2,3,7,Potential
SWGY13059,71,1,196.45,3,2,3,8,Loyal
SWGY13063,23,1,434.94,3,2,4,9,Loyal
SWGY13064,371,1,94.44,1,2,1,4,At-Risk
SWGY13065,628,1,303.47,1,2,3,6,Potential
SWGY13069,46,1,154.98,3,2,2,7,Potential
SWGY13071,41,1,192.58,3,2,3,8,Loyal
SWGY13072,151,1,360.22,2,2,4,8,Loyal
SWGY13075,396,1,85.86,1,2,1,4,At-Risk
SWGY13077,163,1,123.36,2,2,2,6,Potential
SWGY13091,10,1,280.35,4,2,3,9,Loyal
SWGY13092,1,1,237.15,4,2,3,9,Loyal
SWGY13094,36,1,82.24,3,2,1,6,Potential
SWGY13100,264,1,131.92,2,2,2,6,Potential
SWGY13113,276,1,79.67,1,2,1,4,At-Risk
SWGY13116,82,1,31.44,3,2,1,6,Potential
SWGY13117,279,1,80.49,1,2,1,4,At-Risk
SWGY13139,154,1,59.88,2,2,1,5,At-Risk
SWGY13140,65,1,20.54,3,2,1,6,Potential
SWGY13142,24,1,70.22,3,2,1,6,Potential
SWGY13150,165,1,228.34,2,2,3,7,Potential
SWGY13155,160,1,321.12,2,2,3,7,Potential
SWGY13156,224,1,303.4,2,2,3,7,Potential
SWGY13158,3,2,417.99,4,4,4,12,Champions
SWGY13160,186,1,129.93,2,2,2,6,Potential
SWGY13161,307,1,101.91,1,2,1,4,At-Risk
SWGY13166,464,1,204.06,1,2,3,6,Potential
SWGY13167,196,1,335.38,2,2,4,8,Loyal
SWGY13171,14,1,147.49,4,2,2,8,Loyal
SWGY13175,239,1,123.48,2,2,2,6,Potential
SWGY13176,260,1,18.89,2,2,1,5,At-Risk
SWGY13178,216,1,212.59,2,2,3,7,Potential
SWGY13189,503,2,366.5,1,4,4,9,Loyal
SWGY13190,18,1,262.07,4,2,3,9,Loyal
SWGY13199,403,2,293.92,1,4,3,8,Loyal
SWGY13200,23,1,112.95,3,2,2,7,Potential
SWGY13203,12,1,260.02,4,2,3,9,Loyal
SWGY13205,211,1,120.82,2,2,2,6,Potential
SWGY13214,25,1,91.66,3,2,1,6,Potential
SWGY13223,176,1,35.74,2,2,1,5,At-Risk
SWGY13225,189,1,377.66,2,2,4,8,Loyal
SWGY13228,1,1,78.45,4,2,1,7,Potential
SWGY13233,221,1,523.76,2,2,4,8,Loyal
SWGY13237,21,1,393.8,3,2,4,9,Loyal
SWGY13243,25,3,595.5500000000001,3,4,4,11,Champions
SWGY13244,11,2,354.14,4,4,4,12,Champions
SWGY13252,4,1,176.58,4,2,2,8,Loyal
SWGY13261,249,1,102.96,2,2,1,5,At-Risk
SWGY13262,16,1,252.43,4,2,3,9,Loyal
SWGY13266,4,1,137.11,4,2,2,8,Loyal
SWGY13272,17,1,221.3,4,2,3,9,Loyal
SWGY13275,507,1,249.63,1,2,3,6,Potential
SWGY13276,243,1,88.72,2,2,1,5,At-Risk
SWGY13281,500,1,33.9,1,2,1,4,At-Risk
SWGY13284,120,1,232.6,2,2,3,7,Potential
SWGY13285,272,1,79.64,1,2,1,4,At-Risk
SWGY13287,26,1,106.94,3,2,2,7,Potential
SWGY13290,13,1,285.43,4,2,3,9,Loyal
SWGY13294,122,1,158.29,2,2,2,6,Potential
SWGY13296,18,2,628.1800000000001,4,4,4,12,Champions
SWGY13297,318,1,13.9,1,2,1,4,At-Risk
SWGY13298,15,1,130.1,4,2,2,8,Loyal
SWGY13301,12,1,2.46,4,2,1,7,Potential
SWGY13302,22,2,250.07,3,4,3,10,Champions
SWGY13303,422,1,155.1,1,2,2,5,At-Risk
SWGY13304,174,1,77.61,2,2,1,5,At-Risk
SWGY13305,128,1,120.1,2,2,2,6,Potential
SWGY13309,12,2,230.39,4,4,3,11,Champions
SWGY13310,85,1,75.53,2,2,1,5,At-Risk
SWGY13316,4,1,86.37,4,2,1,7,Potential
SWGY13325,106,1,35.53,2,2,1,5,At-Risk
SWGY13329,295,1,155.28,1,2,2,5,At-Risk
SWGY13330,171,1,161.32,2,2,2,6,Potential
SWGY13333,212,1,169.19,2,2,2,6,Potential
SWGY13335,26,1,73.09,3,2,1,6,Potential
SWGY13340,145,1,230.09,2,2,3,7,Potential
SWGY13344,6,1,190.05,4,2,2,8,Loyal
SWGY13346,4,1,151.62,4,2,2,8,Loyal
SWGY13348,189,1,270.84,2,2,3,7,Potential
SWGY13349,9,1,124.57,4,2,2,8,Loyal
SWGY13352,218,1,58.28,2,2,1,5,At-Risk
SWGY13353,180,1,59.9,2,2,1,5,At-Risk
SWGY13354,201,1,295.46,2,2,3,7,Potential
SWGY13359,387,1,369.15,1,2,4,7,Potential
SWGY13362,161,1,355.11,2,2,4,8,Loyal
SWGY13378,3,1,21.69,4,2,1,7,Potential
SWGY13379,43,3,663.7,3,4,4,11,Champions
SWGY13381,17,2,317.86,4,4,3,11,Champions
SWGY13384,110,1,146.51,2,2,2,6,Potential
SWGY13385,53,2,317.1,3,4,3,10,Champions
SWGY13392,364,1,136.49,1,2,2,5,At-Risk
SWGY13394,5,1,118.15,4,2,2,8,Loyal
SWGY13399,70,1,155.55,3,2,2,7,Potential
SWGY13401,20,1,428.26,3,2,4,9,Loyal
SWGY13403,20,1,38.86,3,2,1,6,Potential
SWGY13404,21,1,97.61,3,2,1,6,Potential
SWGY13414,483,1,182.15,1,2,2,5,At-Risk
SWGY13421,174,2,242.86,2,4,3,9,Loyal
SWGY13429,9,2,108.59,4,4,2,10,Champions
SWGY13430,112,1,150.59,2,2,2,6,Potential
SWGY13431,42,1,33.59,3,2,1,6,Potential
SWGY13433,276,2,408.9,1,4,4,9,Loyal
SWGY13434,12,1,96.22,4,2,1,7,Potential
SWGY13440,3,1,448.95,4,2,4,10,Champions
SWGY13441,176,1,208.78,2,2,3,7,Potential
SWGY13443,138,1,260.12,2,2,3,7,Potential
SWGY13444,67,1,127.3,3,2,2,7,Potential
SWGY13446,170,1,321.22,2,2,3,7,Potential
SWGY13450,2,1,296.42,4,2,3,9,Loyal
SWGY13457,12,1,118.2,4,2,2,8,Loyal
SWGY13460,173,1,164.04,2,2,2,6,Potential
SWGY13461,19,1,181.4,3,2,2,7,Potential
SWGY13466,123,1,145.98,2,2,2,6,Potential
SWGY13467,6,1,267.33,4,2,3,9,Loyal
SWGY13470,29,1,25.31,3,2,1,6,Potential
SWGY13471,212,1,81.43,2,2,1,5,At-Risk
SWGY13477,1,2,444.0,4,4,4,12,Champions
SWGY13483,142,1,118.03,2,2,2,6,Potential
SWGY13490,360,1,183.63,1,2,2,5,At-Risk
SWGY13498,205,1,283.41,2,2,3,7,Potential
SWGY13499,85,2,491.19000000000005,2,4,4,10,Champions
SWGY13500,16,1,4.36,4,2,1,7,Potential
SWGY13501,22,1,204.92,3,2,3,8,Loyal
SWGY13502,16,1,78.25,4,2,1,7,Potential
SWGY13503,21,1,226.5,3,2,3,8,Loyal
SWGY13515,30,1,165.68,3,2,2,7,Potential
SWGY13517,14,1,13.29,4,2,1,7,Potential
SWGY13518,607,1,262.26,1,2,3,6,Potential
SWGY13523,240,3,875.6600000000001,2,4,4,10,Champions
SWGY13526,22,1,26.01,3,2,1,6,Potential
SWGY13527,330,2,434.92,1,4,4,9,Loyal
SWGY13534,25,1,306.77,3,2,3,8,Loyal
SWGY13538,370,1,186.05,1,2,2,5,At-Risk
SWGY13539,170,1,126.34,2,2,2,6,Potential
SWGY13540,1,1,299.23,4,2,3,9,Loyal
SWGY13542,170,1,58.92,2,2,1,5,At-Risk
SWGY13555,164,1,87.85,2,2,1,5,At-Risk
SWGY13557,518,1,395.07,1,2,4,7,Potential
SWGY13559,13,1,245.03,4,2,3,9,Loyal
SWGY13564,10,2,672.16,4,4,4,12,Champions
SWGY13566,8,1,92.48,4,2,1,7,Potential
SWGY13571,312,1,399.94,1,2,4,7,Potential
SWGY13573,463,2,339.06,1,4,4,9,Loyal
SWGY13577,15,1,77.37,4,2,1,7,Potential
SWGY13578,94,2,578.3,2,4,4,10,Champions
SWGY13579,265,1,295.18,1,2,3,6,Potential
SWGY13583,185,1,97.71,2,2,1,5,At-Risk
SWGY13585,434,1,78.45,1,2,1,4,At-Risk
SWGY13586,16,1,106.68,4,2,2,8,Loyal
SWGY13587,27,2,654.21,3,4,4,11,Champions
SWGY13592,320,1,167.23,1,2,2,5,At-Risk
SWGY13593,131,1,94.87,2,2,1,5,At-Risk
SWGY13597,264,1,982.1,2,2,4,8,Loyal
SWGY13598,50,1,148.32,3,2,2,7,Potential
SWGY13602,13,2,58.040000000000006,4,4,1,9,Loyal
SWGY13603,190,1,189.73,2,2,2,6,Potential
SWGY13609,89,2,536.9200000000001,2,4,4,10,Champions
SWGY13610,125,2,346.88,2,4,4,10,Champions
SWGY13616,346,1,163.03,1,2,2,5,At-Risk
SWGY13619,126,1,71.32,2,2,1,5,At-Risk
SWGY13626,2,2,328.38,4,4,4,12,Champions
SWGY13628,25,1,144.02,3,2,2,7,Potential
SWGY13632,1,1,125.17,4,2,2,8,Loyal
SWGY13634,231,1,244.43,2,2,3,7,Potential
SWGY13637,12,2,333.77,4,4,4,12,Champions
SWGY13645,87,1,39.73,2,2,1,5,At-Risk
SWGY13651,29,1,157.22,3,2,2,7,Potential
SWGY13659,22,1,193.44,3,2,3,8,Loyal
